Terminal log file
Date: 05.12.2015 - 12:38:43
-----------------------------------------------
09806a:CF<-12:38:52.156> 
10172d:3E>+9A-12:39:25.275> 
10221b:3E>+A9-12:39:25.431> 
10230c:3E>+93-12:39:25.431> 
10231b:3E>+96-12:39:25.431> 
10271d:3E>+9C-12:39:25.431> 
10272d:3E>+9A-12:39:25.431> 
10284c:6E>+A9-12:39:25.431> 
10298e:3E>+93-12:39:25.431> 
10299d:3E>+96-12:39:25.431> 
10380d:3E>+9C-12:39:25.587> 
10381c:3E>+9A-12:39:25.587> 
10449f:3E>+93-12:39:25.587> 
10450e:3E>+96-12:39:25.587> 
10469f:3E>+9C-12:39:25.587> 
10470f:3E>+9A-12:39:25.587> 
10509d:3E>+93-12:39:25.587> 
10510c:3E>+96-12:39:25.587> 
10550c:3E>+9C-12:39:25.743> 
10551b:3E>+9A-12:39:25.743> 
10598b:3E>+93-12:39:25.743> 
10599b:3E>+96-12:39:25.743> 
10679e:3E>+9C-12:39:25.743> 
10680d:3E>+9A-12:39:25.743> 
10747d:3E>+93-12:39:25.852> 
10748c:3E>+96-12:39:25.852> 
10769b:3E>+9C-12:39:25.852> 
10770a:3E>+9A-12:39:25.852> 
10828e:3E>+93-12:39:25.930> 
10829d:3E>+96-12:39:25.930> 
10849c:3E>+9C-12:39:25.930> 
10850b:3E>+9A-12:39:25.930> 
10897c:3E>+93-12:39:26.008> 
10898a:3E>+A9-12:39:26.008> 
10898f:3E>+96-12:39:26.008> 
10919a:3E>+9C-12:39:26.008> 
10919f:3E>+9A-12:39:26.008> 
00043e:6E>+A9-12:39:26.102> 
00055f:3E>+93-12:39:26.102> 
00056e:3E>+96-12:39:26.102> 
00078a:3E>+9C-12:39:26.102> 
00079a:3E>+9A-12:39:26.102> 
00124f:3E>+93-12:39:26.195> 
00125e:3E>+96-12:39:26.195> 
00186c:3E>+9C-12:39:26.195> 
00187b:3E>+9A-12:39:26.195> 
00205f:3E>+93-12:39:26.195> 
00206f:3E>+96-12:39:26.195> 
00248c:3E>+9C-12:39:26.304> 
00249c:3E>+9A-12:39:26.304> 
00274c:3E>+93-12:39:26.304> 
00275b:3E>+96-12:39:26.304> 
00296a:3E>+9C-12:39:26.304> 
00296f:3E>+9A-12:39:26.304> 
00423c:3E>+93-12:39:26.414> 
00424b:3E>+96-12:39:26.414> 
00445a:3E>+9C-12:39:26.476> 
00445f:3E>+9A-12:39:26.476> 
00524b:3E>+93-12:39:26.538> 
00525a:3E>+96-12:39:26.538> 
00545e:3E>+9C-12:39:26.538> 
00546e:3E>+9A-12:39:26.538> 
00573b:3E>+93-12:39:26.616> 
00574a:3E>+96-12:39:26.616> 
00595a:3E>+9C-12:39:26.616> 
00596a:3E>+9A-12:39:26.616> 
00634a:3E>+93-12:39:26.616> 
00634f:3E>+96-12:39:26.710> 
00652a:3E>+A9-12:39:26.710> 
00696a:3E>+9C-12:39:26.710> 
00696f:3E>+9A-12:39:26.710> 
00722e:3E>+93-12:39:26.710> 
00723d:3E>+96-12:39:26.710> 
00725d:6E>+A9-12:39:26.835> 
00784d:3E>+9C-12:39:26.835> 
00785c:3E>+9A-12:39:26.835> 
00803f:3E>+93-12:39:26.835> 
00804e:3E>+96-12:39:26.835> 
00823f:3E>+9C-12:39:26.835> 
00824e:3E>+9A-12:39:26.835> 
00871e:3E>+93-12:39:26.960> 
00872d:3E>+96-12:39:26.960> 
00895f:3E>+9C-12:39:26.960> 
00896e:3E>+9A-12:39:26.960> 
00953b:3E>+93-12:39:26.960> 
00954a:3E>+96-12:39:26.960> 
00996a:3E>+9C-12:39:27.069> 
00996f:3E>+9A-12:39:27.069> 
01021c:3E>+93-12:39:27.069> 
01022b:3E>+96-12:39:27.069> 
01043a:3E>+9C-12:39:27.069> 
01043f:3E>+9A-12:39:27.069> 
01062f:3E>+93-12:39:27.069> 
01063e:3E>+96-12:39:27.069> 
01082c:3E>+9C-12:39:27.069> 
01083c:3E>+9A-12:39:27.069> 
01122b:3E>+93-12:39:27.256> 
01123b:3E>+96-12:39:27.256> 
01143e:3E>+9C-12:39:27.256> 
01144e:3E>+9A-12:39:27.256> 
01170d:3E>+93-12:39:27.256> 
01171c:3E>+96-12:39:27.256> 
01192c:3E>+9C-12:39:27.256> 
01193b:3E>+9A-12:39:27.256> 
01319e:3E>+93-12:39:27.412> 
01320d:3E>+96-12:39:27.412> 
01328e:3E>+A9-12:39:27.412> 
01381b:3E>+9C-12:39:27.412> 
01382a:3E>+9A-12:39:27.412> 
01400f:3E>+93-12:39:27.412> 
01401f:3E>+96-12:39:27.412> 
01407d:6E>+A9-12:39:27.412> 
01441f:3E>+9C-12:39:27.568> 
01442e:3E>+9A-12:39:27.568> 
01469d:3E>+93-12:39:27.568> 
01470c:3E>+96-12:39:27.568> 
01493d:3E>+9C-12:39:27.568> 
01494c:3E>+9A-12:39:27.568> 
01510c:3E>+93-12:39:27.568> 
01511b:3E>+96-12:39:27.568> 
01553a:3E>+9C-12:39:27.568> 
01553f:3E>+9A-12:39:27.568> 
01570b:3E>+93-12:39:27.568> 
01571b:3E>+96-12:39:27.568> 
01591e:3E>+9C-12:39:27.786> 
01592d:3E>+9A-12:39:27.786> 
01619a:3E>+93-12:39:27.786> 
01620a:3E>+96-12:39:27.786> 
01641c:3E>+9C-12:39:27.786> 
01642b:3E>+9A-12:39:27.786> 
02005d:3E>+A9-12:39:28.036> 
02089c:6E>+A9-12:39:28.098> 
02682c:3E>+A9-12:39:28.722> 
02771c:6E>+A9-12:39:28.785> 
03118a:6E>+93-12:39:29.159> 
03119a:6E>+96-12:39:29.159> 
03139c:6E>+9C-12:39:29.159> 
03140b:6E>+9A-12:39:29.159> 
03268e:6E>+93-12:39:29.253> 
03269d:6E>+96-12:39:29.284> 
03349c:6E>+9C-12:39:29.346> 
03350b:6E>+9A-12:39:29.346> 
03359b:3E>+A9-12:39:29.346> 
03368d:6E>+93-12:39:29.424> 
03369d:6E>+96-12:39:29.424> 
03389f:6E>+9C-12:39:29.424> 
03390e:6E>+9A-12:39:29.424> 
03419b:6E>+93-12:39:29.424> 
03420a:6E>+96-12:39:29.424> 
03453c:6E>+A9-12:39:29.534> 
03458c:6E>+9C-12:39:29.534> 
03459c:6E>+9A-12:39:29.534> 
03478e:6E>+93-12:39:29.534> 
03479e:6E>+96-12:39:29.534> 
03539c:6E>+9C-12:39:29.534> 
03540b:6E>+9A-12:39:29.534> 
03568e:6E>+93-12:39:29.674> 
03569d:6E>+96-12:39:29.674> 
03588f:6E>+9C-12:39:29.674> 
03589e:6E>+9A-12:39:29.674> 
03629b:6E>+93-12:39:29.674> 
03630a:6E>+96-12:39:29.674> 
03649c:6E>+9C-12:39:29.674> 
03650b:6E>+9A-12:39:29.674> 
03719a:6E>+93-12:39:29.830> 
03720a:6E>+96-12:39:29.830> 
03759d:6E>+9C-12:39:29.830> 
03760d:6E>+9A-12:39:29.830> 
03798f:6E>+93-12:39:29.830> 
03799f:6E>+96-12:39:29.830> 
03839c:6E>+9C-12:39:29.830> 
03840c:6E>+9A-12:39:29.830> 
03868e:6E>+93-12:39:29.986> 
03869e:6E>+96-12:39:29.986> 
03968e:6E>+9C-12:39:29.986> 
03969d:6E>+9A-12:39:29.986> 
04019b:6E>+93-12:39:30.064> 
04020a:6E>+96-12:39:30.064> 
04035f:3E>+A9-12:39:30.064> 
04039c:6E>+9C-12:39:30.064> 
04040b:6E>+9A-12:39:30.064> 
04099a:6E>+93-12:39:30.158> 
04099f:6E>+96-12:39:30.158> 
04135b:6E>+A9-12:39:30.158> 
04139d:6E>+9C-12:39:30.158> 
04140c:6E>+9A-12:39:30.158> 
04168e:6E>+93-12:39:30.158> 
04169e:6E>+96-12:39:30.158> 
04249d:6E>+9C-12:39:30.282> 
04250d:6E>+9A-12:39:30.282> 
04319b:6E>+93-12:39:30.345> 
04320a:6E>+96-12:39:30.345> 
04399a:6E>+9C-12:39:30.407> 
04400a:6E>+9A-12:39:30.407> 
04468e:6E>+93-12:39:30.470> 
04469e:6E>+96-12:39:30.470> 
04489a:6E>+9C-12:39:30.470> 
04489f:6E>+9A-12:39:30.532> 
04528c:6E>+93-12:39:30.532> 
04529b:6E>+96-12:39:30.532> 
04568f:6E>+9C-12:39:30.594> 
04569e:6E>+9A-12:39:30.594> 
04618c:6E>+93-12:39:30.657> 
04619b:6E>+96-12:39:30.657> 
04658e:6E>+9C-12:39:30.657> 
04659d:6E>+9A-12:39:30.657> 
04678f:6E>+93-12:39:30.735> 
04679e:6E>+96-12:39:30.735> 
04699a:6E>+9C-12:39:30.735> 
04700a:6E>+9A-12:39:30.735> 
04712d:3E>+A9-12:39:30.735> 
04719c:6E>+93-12:39:30.735> 
04720b:6E>+96-12:39:30.735> 
04739d:6E>+9C-12:39:30.735> 
04740c:6E>+9A-12:39:30.735> 
04768f:6E>+93-12:39:30.906> 
04769e:6E>+96-12:39:30.906> 
04817b:6E>+A9-12:39:30.906> 
04829c:6E>+9C-12:39:30.906> 
04830c:6E>+9A-12:39:30.906> 
04849e:6E>+93-12:39:30.906> 
04850d:6E>+96-12:39:30.906> 
04890a:6E>+9C-12:39:30.906> 
04891a:6E>+9A-12:39:30.906> 
04919c:6E>+93-12:39:30.906> 
04920c:6E>+96-12:39:30.906> 
04939d:6E>+9C-12:39:31.109> 
04940c:6E>+9A-12:39:31.109> 
05068f:6E>+93-12:39:31.109> 
05069e:6E>+96-12:39:31.109> 
05129d:6E>+9C-12:39:31.203> 
05130c:6E>+9A-12:39:31.203> 
05149e:6E>+93-12:39:31.203> 
05150d:6E>+96-12:39:31.203> 
05168f:6E>+9C-12:39:31.203> 
05169f:6E>+9A-12:39:31.203> 
05219c:6E>+93-12:39:31.203> 
05220c:6E>+96-12:39:31.343> 
05239d:6E>+9C-12:39:31.343> 
05240d:6E>+9A-12:39:31.343> 
05279a:6E>+93-12:39:31.343> 
05279f:6E>+96-12:39:31.343> 
05339e:6E>+9C-12:39:31.343> 
05340d:6E>+9A-12:39:31.343> 
05370a:6E>+93-12:39:31.468> 
05370f:6E>+96-12:39:31.468> 
05389c:3E>+A9-12:39:31.468> 
05390b:6E>+9C-12:39:31.468> 
05391a:6E>+9A-12:39:31.468> 
05429d:6E>+93-12:39:31.468> 
05430d:6E>+96-12:39:31.468> 
05469f:6E>+9C-12:39:31.468> 
05470f:6E>+9A-12:39:31.468> 
05499b:6E>+A9-12:39:31.640> 
05519d:6E>+93-12:39:31.640> 
05520c:6E>+96-12:39:31.640> 
05539e:6E>+9C-12:39:31.640> 
05540d:6E>+9A-12:39:31.640> 
05559f:6E>+93-12:39:31.640> 
05560e:6E>+96-12:39:31.640> 
05640e:6E>+9C-12:39:31.640> 
05641d:6E>+9A-12:39:31.640> 
05669f:6E>+93-12:39:31.811> 
05670f:6E>+96-12:39:31.811> 
05730d:6E>+9C-12:39:31.811> 
05731d:6E>+9A-12:39:31.811> 
05749f:6E>+93-12:39:31.811> 
05750e:6E>+96-12:39:31.811> 
05790b:6E>+9C-12:39:31.811> 
05791a:6E>+9A-12:39:31.811> 
05819d:6E>+93-12:39:31.811> 
05820c:6E>+96-12:39:31.811> 
05839e:6E>+9C-12:39:31.998> 
05840d:6E>+9A-12:39:31.998> 
05859f:6E>+93-12:39:31.998> 
05860e:6E>+96-12:39:31.998> 
05900c:6E>+9C-12:39:31.998> 
05901b:6E>+9A-12:39:31.998> 
05920d:6E>+93-12:39:31.998> 
05921c:6E>+96-12:39:31.998> 
05940e:6E>+9C-12:39:31.998> 
05941e:6E>+9A-12:39:31.998> 
05970a:6E>+93-12:39:31.998> 
05971a:6E>+96-12:39:31.998> 
05990b:6E>+9C-12:39:31.998> 
05991b:6E>+9A-12:39:31.998> 
06066a:3E>+A9-12:39:32.264> 
06181b:6E>+A9-12:39:32.264> 
06742f:3E>+A9-12:39:32.778> 
06863a:6E>+A9-12:39:32.903> 
06969b:6E>+93-12:39:32.966> 
06970a:6E>+96-12:39:32.966> 
07049a:6E>+9C-12:39:33.090> 
07050a:6E>+9A-12:39:33.090> 
07069b:6E>+93-12:39:33.090> 
07070b:6E>+96-12:39:33.090> 
07089c:6E>+9C-12:39:33.090> 
07090c:6E>+9A-12:39:33.090> 
07389d:6E>+93-12:39:33.402> 
07390d:6E>+96-12:39:33.402> 
07419e:3E>+A9-12:39:33.402> 
07429f:6E>+9C-12:39:33.480> 
07430f:6E>+9A-12:39:33.480> 
07449a:6E>+93-12:39:33.480> 
07449f:6E>+96-12:39:33.480> 
07509e:6E>+9C-12:39:33.558> 
07510d:6E>+9A-12:39:33.558> 
07545a:6E>+A9-12:39:33.558> 
07662b:6E>+93-12:39:33.652> 
07663b:6E>+96-12:39:33.652> 
07702d:6E>+9C-12:39:33.714> 
07703d:6E>+9A-12:39:33.714> 
07721f:6E>+93-12:39:33.714> 
07722e:6E>+96-12:39:33.714> 
07782d:6E>+9C-12:39:33.792> 
07783c:6E>+9A-12:39:33.792> 
07981d:6E>+93-12:39:33.964> 
07982c:6E>+96-12:39:34.026> 
08021f:6E>+9C-12:39:34.026> 
08022e:6E>+9A-12:39:34.026> 
08041a:6E>+93-12:39:34.026> 
08042a:6E>+96-12:39:34.026> 
08096c:3E>+A9-12:39:34.136> 
08101e:6E>+9C-12:39:34.136> 
08102d:6E>+9A-12:39:34.136> 
08226f:6E>+A9-12:39:34.214> 
08307f:6E>+93-12:39:34.338> 
08308e:6E>+96-12:39:34.338> 
08347b:6E>+9C-12:39:34.338> 
08348b:6E>+9A-12:39:34.338> 
08367d:6E>+93-12:39:34.432> 
08368c:6E>+96-12:39:34.432> 
08428a:6E>+9C-12:39:34.432> 
08428f:6E>+9A-12:39:34.432> 
08773b:3E>+A9-12:39:34.775> 
08908f:6E>+A9-12:39:34.900> 
09065d:6E>+93-12:39:35.087> 
09066c:6E>+96-12:39:35.087> 
09449f:3E>+A9-12:39:35.462> 
09590e:6E>+A9-12:39:35.586> 
10126e:3E>+A9-12:39:36.148> 
10272e:6E>+A9-12:39:36.273> 
10375e:6E>+AA-12:39:36.398> 
10655a:3E>+AC-12:39:36.647> 

-----------------------------------------------
Date: 05.12.2015 - 12:39:46
End log file
